confCase,confCaseRate,criticalRate,death,deathRate,gubun,createDt
53179,8.05,0.01,3,0.05,0-9,2022-01-08
98569,14.91,0.01,13,0.22,20-29,2022-01-08
95445,14.44,0.3,287,4.79,50-59,2022-01-08
39526,5.98,4.16,1645,27.48,70-79,2022-01-08
93129,14.09,1.01,942,15.74,60-69,2022-01-08
343420,51.95,0.9,3079,51.44,남성,2022-01-08
317595,48.05,0.92,2907,48.56,여성,2022-01-08
96928,14.66,0.08,82,1.37,40-49,2022-01-08
21156,3.2,14.06,2975,49.70,80 이상,2022-01-08
96428,14.59,0.04,39,0.65,30-39,2022-01-08
66655,10.08,0,0,0.00,10-19,2022-01-08
